presa_id,clavesih,nombre_presa,estado_id,latitud,longitud,pred_vol_Base,pred_pct_Base,pred_pct_base_baja,pred_pct_base_alta,pred_vol_Temp_+1C,pred_pct_Temp_+1C,pred_vol_Temp_+2C,pred_pct_Temp_+2C,pred_vol_Temp_+3C,pred_pct_Temp_+3C
1,ABRAG,"Abelardo L. Rodríguez, Ags.",MX-AGU,21.916944,-102.427778,4.468,0.2793023691942239,0.2653372507345127,0.2932674876539351,4.28928,0.26813027442645493,4.06588,0.25416515596674377,3.75312,0.23461399012314807
2,ACHZC,"Achimec, Jal.",MX-JAL,22.327222,-103.225278,0.781,0.1060564910374796,0.10075366648560562,0.1113593155893536,0.74976,0.10181423139598042,0.7107100000000001,0.09651140684410645,0.65604,0.08908745247148286
3,AFIGR,"Andrés Figueroa, Gro.",MX-GRO,18.075833,-100.5175,40.83,0.3983414634146341,0.3784243902439024,0.4182585365853658,39.196799999999996,0.3824078048780487,37.1553,0.36249073170731705,34.2972,0.33460682926829266
4,AGMNR,"Aguamilpa Solidaridad, Nay.",MX-NAY,21.839167,-104.802222,4313.13,0.7455506848557344,0.7082731506129476,0.7828282190985212,4140.6048,0.7157286574615049,3924.9483,0.6784511232187184,3623.0292,0.6262625752788169
5,AGOMC,"Agostitlán, Mich.",MX-MIC,19.579722,-100.608889,7.595,0.4845295055821371,0.4603030303030302,0.508755980861244,7.2912,0.4651483253588516,6.91145,0.44092185007974477,6.3797999999999995,0.40700478468899515
6,AGZCH,"Abraham González, Chih.",MX-CHH,28.481667,-107.482778,12.743,0.1605842175567709,0.15255500667893235,0.16861342843460947,12.23328,0.15416084885450007,11.59613,0.14613163797666154,10.70412,0.13489074274768756
7,ALMSI,"Adolfo López Mateos, Sin.",MX-SIN,25.101389,-107.388333,132.449,0.0429108294888376,0.04076528801439572,0.04505637096327948,127.15104000000001,0.04119439630928409,120.52859000000001,0.03904885483484222,111.25716000000001,0.036045096770623584
8,ALRBN,"Abelardo L. Rodríguez, B.C.",MX-BCN,32.444722,-116.908333,39.63,0.5153446033810143,0.48957737321196354,0.541111833550065,38.0448,0.4947308192457737,36.063300000000005,0.46896358907672303,33.2892,0.432889466840052
9,ANGCP,"Doctor Belisario Domínguez, Chis.",MX-CHP,16.401389,-92.778889,6301.49,0.4784864874715538,0.4545621630979761,0.5024108118451315,6049.430399999999,0.45934702797269167,5734.3559,0.435422703599114,5293.2516,0.4019286494761052
10,ANVAG,"Cincuenta Aniversario, Ags.",MX-AGU,22.188611,-102.464167,3.637,0.8870731707317074,0.842719512195122,0.9314268292682929,3.49152,0.8515902439024391,3.30967,0.8072365853658537,3.05508,0.7451414634146343
11,AOBSO,"Alvaro Obregón, Son.",MX-SON,27.8225,-109.8925,473.72,0.1566980027388741,0.1488631026019304,0.16453290287581782,454.7712,0.15043008262931915,431.08520000000004,0.14259518249237543,397.9248,0.13162632230065424
12,ARCSO,"Adolfo Ruiz Cortines, Son.",MX-SON,27.226111,-109.106667,8.571,0.0071424999999999,0.006785374999999904,0.007499624999999895,8.228159999999999,0.006856799999999903,7.79961,0.006499674999999909,7.19964,0.005999699999999916
13,ARLSO,"Abelardo Rodríguez Luján, Son.",MX-SON,29.076667,-110.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,BBAJL,"Basilio Vadillo, Jal.",MX-JAL,19.913611,-104.061111,84.939,0.68087374749499,0.6468300601202405,0.7149174348697395,81.54144,0.6536387975951904,77.29449,0.6195951102204409,71.34875999999998,0.5719339478957916
15,BDDPB,"Manuel Avila Camacho, Pue.",MX-PUE,18.9125,-98.108611,147.78,0.491528467939891,0.46695204454289646,0.5161048913368856,141.8688,0.47186732922229535,134.4798,0.44729090582530084,124.1352,0.41288391306950845
16,CBRDR,"Caboraca, Dgo.",MX-DUR,24.538333,-104.810278,38.026,0.8450222222222223,0.8027711111111112,0.8872733333333335,36.504960000000004,0.8112213333333335,34.603660000000005,0.7689702222222223,31.941840000000003,0.7098186666666667
17,CCHNL,"Cuchillo Solidaridad, N.L.",MX-NLE,25.711667,-99.276944,1033.21,0.9199273823546956,0.8739310132369608,0.9659237514724305,991.8816,0.8831302870605078,940.2211000000001,0.837133917942773,867.8964,0.7727390011779443
18,CDOOX,"Miguel de la Madrid Hurtado, Oax.",MX-OAX,17.999167,-96.263611,1623.52,0.6245484725967586,0.5933210489669206,0.6557758962265966,1558.5792,0.5995665336928883,1477.4032,0.5683391100630504,1363.7567999999999,0.5246207169812772
19,CDRAG,"La Codorniz, Ags.",MX-AGU,21.9975,-102.676944,3.213,0.5987700140170048,0.5688315133161546,0.628708514717855,3.08448,0.5748192134563246,2.92383,0.5448807127554743,2.6989199999999998,0.502966811774284
20,CHICP,"Manuel Moreno Torres, Chis.",MX-CHP,16.941667,-93.100556,180.894,0.878211476842412,0.8343009030002914,0.9221220506845326,173.65824,0.8430830177687154,164.61354,0.7991724439265949,151.95096,0.737697640547626
21,CHIZC,"El Chique, Zac.",MX-ZAC,21.997222,-102.896111,52.039,0.3746265632445005,0.35589523508227544,0.39335789140672556,49.95744,0.35964150071472045,47.35549,0.34091017255249545,43.71276,0.3146863131253804
22,CHLJL,"Chila, Jal.",MX-JAL,20.489722,-102.944167,0.457,0.5997375328083989,0.5697506561679789,0.6297244094488189,0.43872,0.5757480314960629,0.41587,0.545761154855643,0.38388,0.5037795275590551
23,CHTSO,"Cuauhtémoc, Son.",MX-SON,30.873333,-111.516389,1.232,0.0297082219376891,0.028222810840804642,0.031193633034573558,1.18272,0.028519893060181534,1.1211200000000001,0.027034481963297084,1.03488,0.02495490642765884
24,CHUCH,"Chihuahua, Chih.",MX-CHH,28.570556,-106.167778,10.11,0.4323654043866028,0.41074713416727265,0.453983674605933,9.705599999999999,0.4150707882111387,9.200099999999999,0.3934525179918086,8.4924,0.36318693968474636
25,CHYVC,"Paso de Piedras, Ver.",MX-DESC,21.7375,-98.155833,197.242,0.7890626875225026,0.7496095531463774,0.8285158218986278,189.35232,0.7575001800216025,179.49022,0.7180470456454774,165.68328,0.6628126575189022
26,CNPMX,"La Concepción, Méx.",MX-MEX,19.695,-99.304444,9.759,0.8057963834530592,0.7655065642804062,0.8460862026257121,9.36864,0.7735645281149368,8.880690000000001,0.7332747089422839,8.19756,0.6768689621005697
27,CNSQT,"Constitución de 1917, Qro.",MX-QUE,20.418611,-100.080278,15.355,0.2323698547215496,0.22075136198547213,0.2439883474576271,14.7408,0.2230750605326876,13.97305,0.21145656779661015,12.8982,0.19519067796610168
28,CNTCL,"El Centenario, Coah.",MX-DESC,29.213611,-100.95,10.801,0.4392614458707954,0.41729837357725563,0.4612245181643352,10.36896,0.42169098803596355,9.82891,0.39972791574242383,9.07284,0.3689796145314681
29,CNTQT,"El Centenario, Qro.",MX-QUE,20.513333,-99.897778,2.89,0.2954708107555465,0.28069727021776913,0.31024435129332384,2.7744,0.2836519783253246,2.6299,0.26887843778754733,2.4276,0.24819548103465905
30,COIMC,"Cointzio, Mich.",MX-MIC,19.629722,-101.259167,47.8,0.6976065382370111,0.6627262113251605,0.7324868651488617,45.888,0.6697022767075307,43.498,0.6348219497956802,40.151999999999994,0.5859894921190894
31,CPAMC,"Copándaro, Mich.",MX-MIC,20.001667,-102.861389,0.211,0.0766715116279069,0.07283793604651155,0.08050508720930226,0.20256,0.07360465116279062,0.19201000000000001,0.06977107558139528,0.17723999999999998,0.0644040697674418
32,CPEJL,"Cajón de Peña, Jal.",MX-JAL,19.9975,-105.129722,334.718,0.669436,0.6359642,0.7029078000000001,321.32928,0.64265856,304.59338,0.60918676,281.16312,0.56232624
